Event Year,t,N,Mean,SE,CI lower,CI upper,t-stat,p-value,Sig
t=-4,-4,80,0.0226,0.0027,0.0172,0.028,1.08,0.283,
t=-3,-3,80,0.0232,0.0036,0.0162,0.0301,1.0,0.32,
t=-2,-2,80,0.0197,0.0037,0.0125,0.0269,0.022,0.983,
t=-1,-1,80,0.016,0.0035,0.0091,0.0229,-1.037,0.303,
t=0 (LBO),0,80,0.0192,0.004,0.0113,0.027,-0.113,0.91,
t=1,1,80,-0.0027,0.0037,-0.01,0.0046,-5.979,0.0,***
t=2,2,80,0.0007,0.0036,-0.0064,0.0078,-5.217,0.0,***
t=3,3,80,-0.0111,0.0036,-0.0181,-0.0041,-8.58,0.0,***
t=4,4,80,-0.0046,0.0035,-0.0116,0.0023,-6.847,0.0,***
