Event Year,t,N,Mean,SE,CI lower,CI upper,t-stat,p-value,Sig
t=-4,-4,80,0.0636,0.0028,0.058,0.0691,-0.708,0.481,
t=-3,-3,80,0.0668,0.0028,0.0612,0.0723,0.428,0.67,
t=-2,-2,80,0.0639,0.0029,0.0582,0.0697,-0.559,0.578,
t=-1,-1,80,0.066,0.0029,0.0603,0.0717,0.146,0.884,
t=0 (LBO),0,80,0.0659,0.0028,0.0605,0.0713,0.127,0.899,
t=1,1,80,0.0872,0.0025,0.0823,0.0921,8.605,0.0,***
t=2,2,80,0.0891,0.003,0.0832,0.095,7.853,0.0,***
t=3,3,80,0.0899,0.0028,0.0844,0.0954,8.707,0.0,***
t=4,4,80,0.0909,0.003,0.0849,0.0969,8.343,0.0,***
